Year,Player,AS.Pos,HT,WT,Team,Selection Type,NBA Draft Status,Nationality,,AllStar
2016,Stephen Curry,G,03-Jun,190,Golden State Warriors,Western All-Star Fan Vote Selection,2009 Rnd 1 Pick 7,United States,,1
2016,James Harden,SG,05-Jun,220,Houston Rockets,Western All-Star Fan Vote Selection,2009 Rnd 1 Pick 3,United States,,1
2016,Kevin Durant,SF,09-Jun,240,Golden State Warriors,Western All-Star Fan Vote Selection,2007 Rnd 1 Pick 2,United States,,1
2016,Kawhi Leonard,F,07-Jun,230,San Antonio Spurs,Western All-Star Fan Vote Selection,2011 Rnd 1 Pick 15,United States,,1
2016,Anthony Davis,PF,11-Jun,253,New Orleans Pelicans,Western All-Star Fan Vote Selection,2012 Rnd 1 Pick 1,United States,,1
2016,Russell Westbrook,G,03-Jun,200,Oklahoma City Thunder,Western All-Star Coaches Selection,2008 Rnd 1 Pick 4,United States,,1
2016,DeMarcus Cousins,C,11-Jun,270,Sacramento Kings,Western All-Star Coaches Selection,2010 Rnd 1 Pick 5,United States,,1
2016,Klay Thompson,G,07-Jun,215,Golden State Warriors,Western All-Star Coaches Selection,2011 Rnd 1 Pick 11,United States,,1
2016,Draymond Green,F,07-Jun,230,Golden State Warriors,Western All-Star Coaches Selection,2012 Rnd 2 Pick 5,United States,,1
2016,Marc Gasol,C,01-Jul,255,Memphis Grizzlies,Western All-Star Coaches Selection,2007 Rnd 2 Pick 18,Spain,,1
2016,DeAndre Jordan,C,11-Jun,265,Los Angeles Clippers,Western All-Star Coaches Selection,2008 Rnd 2 Pick 5,United States,,1
2016,Gordon Hayward,GF,08-Jun,226,Utah Jazz,Western All-Star Coaches Selection,2010 Rnd 1 Pick 9,United States,,1
2016,Kyrie Irving,G,03-Jun,193,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2011 Rnd 1 Pick 1,"United States
Australia",,1
2016,DeMar DeRozan,GF,07-Jun,220,Toronto Raptors,Eastern All-Star Fan Vote Selection,2009 Rnd 1 Pick 9,United States,,1
2016,LeBron James,F,08-Jun,250,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 1,United States,,1
2016,Giannis Antetokounmpo,F,11-Jun,222,Milwaukee Bucks,Eastern All-Star Fan Vote Selection,2013 Rnd 1 Pick 15,"Greece
Nigeria",,1
2016,Jimmy Butler,GF,07-Jun,231,Chicago Bulls,Eastern All-Star Fan Vote Selection,2011 Rnd 1 Pick 30,United States,,1
2016,Isaiah Thomas,PG,09-May,185,Boston Celtics,Eastern All-Star Coaches Selection,2011 Rnd 2 Pick 30,United States,,1
2016,John Wall,PG,04-Jun,210,Washington Wizards,Eastern All-Star Coaches Selection,2010 Rnd 1 Pick 1,United States,,1
2016,Kevin Love,FC,10-Jun,251,Cleveland Cavaliers,Eastern All-Star Coaches Selection,2008 Rnd 1 Pick 5,United States,,1
2016,Kyle Lowry,PG,Jun-00,205,Toronto Raptors,Eastern All-Star Coaches Selection,2006 Rnd 1 Pick 24,United States,,1
2016,Paul George,GF,09-Jun,220,Indiana Pacers,Eastern All-Star Coaches Selection,2010 Rnd 1 Pick 10,United States,,1
2016,Kemba Walker,G,01-Jun,184,Charlotte Hornets,Eastern All-Star Coaches Selection,2011 Rnd 1 Pick 9,United States,,1
2016,Paul Millsap,FC,08-Jun,246,Atlanta Hawks,Eastern All-Star Coaches Selection,2006 Rnd 2 Pick 17,United States,,1
2015,LeBron James,F,08-Jun,250,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 1,United States,,1
2015,Dwyane Wade,SG,04-Jun,220,Miami Heat,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 5,United States,,1
2015,Paul George,GF,09-Jun,220,Indiana Pacers,Eastern All-Star Fan Vote Selection,2010 Rnd 1 Pick 10,United States,,1
2015,Carmelo Anthony,F,08-Jun,240,New York Knicks,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 3,United States,,1
2015,Kyle Lowry,PG,Jun-00,205,Toronto Raptors,Eastern All-Star Fan Vote Selection,2006 Rnd 1 Pick 24,United States,,1
2015,Jimmy Butler,GF,07-Jun,231,Chicago Bulls,Eastern All-Star Coaches Selection,2011 Rnd 1 Pick 30,United States,,1
2015,DeMar DeRozan,GF,07-Jun,220,Toronto Raptors,Eastern All-Star Coaches Selection,2009 Rnd 1 Pick 9,United States,,1
2015,Paul Millsap,FC,08-Jun,246,Atlanta Hawks,Eastern All-Star Coaches Selection,2006 Rnd 2 Pick 17,United States,,1
2015,Andre Drummond,C,11-Jun,279,Detroit Pistons,Eastern All-Star Coaches Selection,2012 Rnd 1 Pick 9,United States,,1
2015,Chris Bosh,PF,11-Jun,235,Miami Heat,Eastern All-Star Coaches Selection,2003 Rnd 1 Pick 4,United States,,1
2015,John Wall,PG,04-Jun,210,Washington Wizards,Eastern All-Star Coaches Selection,2010 Rnd 1 Pick 1,United States,,1
2015,Isaiah Thomas,PG,09-May,185,Boston Celtics,Eastern All-Star Coaches Selection,2011 Rnd 2 Pick 30,United States,,1
2015,Pau Gasol,FC,Jul-00,250,Chicago Bulls,Eastern All-Star Replacement Selection,2001 Rnd 1 Pick 3,Spain,,1
2015,Al Horford,FC,10-Jun,245,Atlanta Hawks,Eastern All-Star Replacement Selection,2007 Rnd 1 Pick 3,"Dominican Republic
United States",,1
2015,Kobe Bryant,SG,06-Jun,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States,,1
2015,Kevin Durant,SF,09-Jun,240,Oklahoma City Thunder,Western All-Star Fan Vote Selection,2007 Rnd 1 Pick 2,United States,,1
2015,Kawhi Leonard,F,07-Jun,230,San Antonio Spurs,Western All-Star Fan Vote Selection,2011 Rnd 1 Pick 15,United States,,1
2015,Stephen Curry,G,03-Jun,190,Golden State Warriors,Western All-Star Fan Vote Selection,2009 Rnd 1 Pick 7,United States,,1
2015,Russell Westbrook,G,03-Jun,200,Oklahoma City Thunder,Western All-Star Fan Vote Selection,2008 Rnd 1 Pick 4,United States,,1
2015,Draymond Green,F,07-Jun,230,Golden State Warriors,Western All-Star Coaches Selection,2012 Rnd 2 Pick 5,United States,,1
2015,James Harden,SG,05-Jun,220,Houston Rockets,Western All-Star Coaches Selection,2009 Rnd 1 Pick 3,United States,,1
2015,Chris Paul,PG,Jun-00,175,Los Angeles Clippers,Western All-Star Coaches Selection,2005 Rnd 1 Pick 4,United States,,1
2015,Klay Thompson,G,07-Jun,215,Golden State Warriors,Western All-Star Coaches Selection,2011 Rnd 1 Pick 11,United States,,1
2015,Anthony Davis,PF,11-Jun,253,New Orleans Pelicans,Western All-Star Coaches Selection,2012 Rnd 1 Pick 1,United States,,1
2015,DeMarcus Cousins,C,11-Jun,270,Sacramento Kings,Western All-Star Coaches Selection,2010 Rnd 1 Pick 5,United States,,1
2015,LaMarcus Aldridge,FC,11-Jun,240,San Antonio Spurs,Western All-Star Coaches Selection,2006 Rnd 1 Pick 2,United States,,1
2014,LeBron James,F,08-Jun,250,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 1,United States,,1
2014,John Wall,PG,04-Jun,210,Washington Wizards,Eastern All-Star Fan Vote Selection,2010 Rnd 1 Pick 1,United States,,1
2014,Kyle Lowry,PG,Jun-00,205,Toronto Raptors,Eastern All-Star Fan Vote Selection,2006 Rnd 1 Pick 24,United States,,1
2014,Pau Gasol,FC,Jul-00,250,Chicago Bulls,Eastern All-Star Fan Vote Selection,2001 Rnd 1 Pick 3,Spain,,1
2014,Carmelo Anthony,F,08-Jun,240,New York Knicks,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 3,United States,,1
2014,Al Horford,FC,10-Jun,245,Atlanta Hawks,Eastern All-Star Coaches Selection,2007 Rnd 1 Pick 3,"Dominican Republic
United States",,1
2014,Jeff Teague,PG,02-Jun,186,Atlanta Hawks,Eastern All-Star Coaches Selection,2009 Rnd 1 Pick 19,United States,,1
2014,Paul Millsap,FC,08-Jun,246,Atlanta Hawks,Eastern All-Star Coaches Selection,2006 Rnd 2 Pick 17,United States,,1
2014,Jimmy Butler,GF,07-Jun,231,Chicago Bulls,Eastern All-Star Coaches Selection,2011 Rnd 1 Pick 30,United States,,1
2014,Kyrie Irving,G,03-Jun,193,Cleveland Cavaliers,Eastern All-Star Coaches Selection,2011 Rnd 1 Pick 1,"United States
Australia",,1
2014,Chris Bosh,PF,11-Jun,235,Miami Heat,Eastern All-Star Coaches Selection,2003 Rnd 1 Pick 4,United States,,1
2014,Dwyane Wade,SG,04-Jun,220,Miami Heat,Eastern All-Star Coaches Selection,2003 Rnd 1 Pick 5,United States,,1
2014,Kyle Korver,SF,07-Jun,212,Atlanta Hawks,Eastern All-Star Replacement Selection,2003 Rnd 2 Pick 22,United States,,1
2014,Stephen Curry,G,03-Jun,190,Golden State Warriors,Western All-Star Fan Vote Selection,2009 Rnd 1 Pick 7,United States,,1
2014,Kobe Bryant,SG,06-Jun,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States,,1
2014,Anthony Davis,PF,11-Jun,253,New Orleans Pelicans,Western All-Star Fan Vote Selection,2012 Rnd 1 Pick 1,United States,,1
2014,Marc Gasol,C,01-Jul,255,Memphis Grizzlies,Western All-Star Fan Vote Selection,2007 Rnd 2 Pick 18,Spain,,1
2014,Blake Griffin,PF,10-Jun,251,Los Angeles Clippers,Western All-Star Fan Vote Selection,2009 Rnd 1 Pick 1,United States,,1
2014,James Harden,SG,05-Jun,220,Houston Rockets,Western All-Star Coaches Selection,2009 Rnd 1 Pick 3,United States,,1
2014,Klay Thompson,G,07-Jun,215,Golden State Warriors,Western All-Star Coaches Selection,2011 Rnd 1 Pick 11,United States,,1
2014,LaMarcus Aldridge,FC,11-Jun,240,Portland Trail Blazers,Western All-Star Coaches Selection,2006 Rnd 1 Pick 2,United States,,1
2014,Russell Westbrook,G,03-Jun,200,Oklahoma City Thunder,Western All-Star Coaches Selection,2008 Rnd 1 Pick 4,United States,,1
2014,Kevin Durant,SF,09-Jun,240,Oklahoma City Thunder,Western All-Star Coaches Selection,2007 Rnd 1 Pick 2,United States,,1
2014,Tim Duncan,FC,11-Jun,250,San Antonio Spurs,Western All-Star Coaches Selection,1997 Rnd 1 Pick 1,United States,,1
2014,Chris Paul,PG,Jun-00,175,Los Angeles Clippers,Western All-Star Coaches Selection,2005 Rnd 1 Pick 4,United States,,1
2014,DeMarcus Cousins,C,11-Jun,270,Sacramento Kings,Western All-Star Replacement Selection,2010 Rnd 1 Pick 5,United States,,1
2014,Damian Lillard,G,03-Jun,195,Portland Trail Blazers,Western All-Star Replacement Selection,2012 Rnd 1 Pick 6,United States,,1
2014,Dirk Nowitzki,PF,Jul-00,245,Dallas Mavericks,Western All-Star Replacement Selection,1998 Rnd 1 Pick 9,Germany,,1
2013,LaMarcus Aldridge,FC,11-Jun,240,Portland Trail Blazers,Western All-Star Coaches Selection,2006 Rnd 1 Pick 2,United States,,1
2013,Damian Lillard,G,03-Jun,195,Portland Trail Blazers,Western All-Star Coaches Selection,2012 Rnd 1 Pick 6,United States,,1
2013,Chris Paul,PG,Jun-00,175,Los Angeles Clippers,Western All-Star Coaches Selection,2005 Rnd 1 Pick 4,United States,,1
2013,Tony Parker,G,02-Jun,185,San Antonio Spurs,Western All-Star Coaches Selection,2001 Rnd 1 Pick 28,France,,1
2013,James Harden,SG,05-Jun,220,Houston Rockets,Western All-Star Coaches Selection,2009 Rnd 1 Pick 3,United States,,1
2013,Dwight Howard,C,11-Jun,265,Houston Rockets,Western All-Star Coaches Selection,2004 Rnd 1 Pick 1,United States,,1
2013,Dirk Nowitzki,PF,Jul-00,245,Dallas Mavericks,Western All-Star Coaches Selection,1998 Rnd 1 Pick 9,Germany,,1
2013,Kevin Durant,SF,09-Jun,240,Oklahoma City Thunder,Western All-Star Fan Vote Selection,2007 Rnd 1 Pick 2,United States,,1
2013,Kobe Bryant,SG,06-Jun,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States,,1
2013,Stephen Curry,G,03-Jun,190,Golden State Warriors,Western All-Star Fan Vote Selection,2009 Rnd 1 Pick 7,United States,,1
2013,Blake Griffin,PF,10-Jun,251,Los Angeles Clippers,Western All-Star Fan Vote Selection,2009 Rnd 1 Pick 1,United States,,1
2013,Kevin Love,FC,10-Jun,251,Minnesota Timberwolves,Western All-Star Fan Vote Selection,2008 Rnd 1 Pick 5,United States,,1
2013,Anthony Davis,PF,11-Jun,253,New Orleans Pelicans,Western All-Star Replacement Selection,2012 Rnd 1 Pick 1,United States,,1
2013,LeBron James,F,08-Jun,250,Miami Heat,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 1,United States,,1
2013,Dwyane Wade,SG,04-Jun,220,Miami Heat,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 5,United States,,1
2013,Kyrie Irving,G,03-Jun,193,Cleveland Cavaliers,Eastern All-Star Fan Vote Selection,2011 Rnd 1 Pick 1,"United States
Australia",,1
2013,Paul George,GF,09-Jun,220,Indiana Pacers,Eastern All-Star Fan Vote Selection,2010 Rnd 1 Pick 10,United States,,1
2013,Carmelo Anthony,F,08-Jun,240,New York Knicks,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 3,United States,,1
2013,Roy Hibbert,C,02-Jul,270,Indiana Pacers,Eastern All-Star Coaches Selection,2008 Rnd 1 Pick 17,United States,,1
2013,Paul Millsap,FC,08-Jun,246,Atlanta Hawks,Eastern All-Star Coaches Selection,2006 Rnd 2 Pick 17,United States,,1
2013,DeMar DeRozan,GF,07-Jun,220,Toronto Raptors,Eastern All-Star Coaches Selection,2009 Rnd 1 Pick 9,United States,,1
2013,John Wall,PG,04-Jun,210,Washington Wizards,Eastern All-Star Coaches Selection,2010 Rnd 1 Pick 1,United States,,1
2013,Joakim Noah,FC,11-Jun,230,Chicago Bulls,Eastern All-Star Coaches Selection,2007 Rnd 1 Pick 9,"France
United States",,1
2013,Joe Johnson,SG,07-Jun,240,Brooklyn Nets,Eastern All-Star Coaches Selection,2001 Rnd 1 Pick 10,United States,,1
2013,Chris Bosh,PF,11-Jun,235,Miami Heat,Eastern All-Star Coaches Selection,2003 Rnd 1 Pick 4,United States,,1
2012,Kevin Durant,SF,09-Jun,240,Oklahoma City Thunder,Western All-Star Fan Vote Selection,2007 Rnd 1 Pick 2,United States,,1
2012,Dwight Howard,C,11-Jun,265,Los Angeles Lakers,Western All-Star Fan Vote Selection,2004 Rnd 1 Pick 1,United States,,1
2012,Blake Griffin,PF,10-Jun,251,Los Angeles Clippers,Western All-Star Fan Vote Selection,2009 Rnd 1 Pick 1,United States,,1
2012,Kobe Bryant,SG,06-Jun,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States,,1
2012,Chris Paul,PG,Jun-00,175,Los Angeles Clippers,Western All-Star Fan Vote Selection,2005 Rnd 1 Pick 4,United States,,1
2012,Tim Duncan,FC,11-Jun,250,San Antonio Spurs,Western All-Star Coaches Selection,1997 Rnd 1 Pick 1,United States,,1
2012,Tony Parker,G,02-Jun,185,San Antonio Spurs,Western All-Star Coaches Selection,2001 Rnd 1 Pick 28,France,,1
2012,Russell Westbrook,G,03-Jun,200,Oklahoma City Thunder,Western All-Star Coaches Selection,2008 Rnd 1 Pick 4,United States,,1
2012,James Harden,SG,05-Jun,220,Houston Rockets,Western All-Star Coaches Selection,2009 Rnd 1 Pick 3,United States,,1
2012,Zach Randolph,PF,09-Jun,260,Memphis Grizzlies,Western All-Star Coaches Selection,2001 Rnd 1 Pick 19,United States,,1
2012,LaMarcus Aldridge,FC,11-Jun,240,Portland Trail Blazers,Western All-Star Coaches Selection,2006 Rnd 1 Pick 2,United States,,1
2012,David Lee,FC,09-Jun,245,Golden State Warriors,Western All-Star Coaches Selection,2005 Rnd 1 Pick 30,United States,,1
2012,Dwyane Wade,SG,04-Jun,220,Miami Heat,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 5,United States,,1
2012,LeBron James,F,08-Jun,250,Miami Heat,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 1,United States,,1
2012,Rajon Rondo,PG,01-Jun,186,Boston Celtics,Eastern All-Star Fan Vote Selection,2006 Rnd 1 Pick 21,United States,,1
2012,Carmelo Anthony,F,08-Jun,240,New York Knicks,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 3,United States,,1
2012,Kevin Garnett,PF,11-Jun,240,Boston Celtics,Eastern All-Star Fan Vote Selection,1995 Rnd 1 Pick 5,United States,,1
2012,Chris Bosh,PF,11-Jun,235,Miami Heat,Eastern All-Star Coaches Selection,2003 Rnd 1 Pick 4,United States,,1
2012,Tyson Chandler,C,01-Jul,240,New York Knicks,Eastern All-Star Coaches Selection,2001 Rnd 1 Pick 2,United States,,1
2012,Joakim Noah,FC,11-Jun,230,Chicago Bulls,Eastern All-Star Coaches Selection,2007 Rnd 1 Pick 9,"France
United States",,1
2012,Paul George,GF,09-Jun,220,Indiana Pacers,Eastern All-Star Coaches Selection,2010 Rnd 1 Pick 10,United States,,1
2012,Luol Deng,GF,09-Jun,220,Chicago Bulls,Eastern All-Star Coaches Selection,2004 Rnd 1 Pick 7,"England
South Sudan",,1
2012,Jrue Holiday,G,04-Jun,205,Philadelphia Sixers,Eastern All-Star Coaches Selection,2009 Rnd 1 Pick 17,United States,,1
2012,Kyrie Irving,G,03-Jun,193,Cleveland Cavaliers,Eastern All-Star Coaches Selection,2011 Rnd 1 Pick 1,"United States
Australia",,1
2012,Brook Lopez,C,Jul-00,268,Brooklyn Nets,Eastern All-Star Replacement Selection,2008 Rnd 1 Pick 10,United States,,1
2011,Derrick Rose,PG,03-Jun,190,Chicago Bulls,Eastern All-Star Fan Vote Selection,2008 Rnd 1 Pick 1,United States,,1
2011,Dwyane Wade,SG,04-Jun,220,Miami Heat,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 5,United States,,1
2011,LeBron James,F,08-Jun,250,Miami Heat,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 1,United States,,1
2011,Carmelo Anthony,F,08-Jun,240,New York Knicks,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 3,United States,,1
2011,Dwight Howard,C,11-Jun,265,Orlando Magic,Eastern All-Star Fan Vote Selection,2004 Rnd 1 Pick 1,United States,,1
2011,Chris Bosh,PF,11-Jun,235,Miami Heat,Eastern All-Star Coaches Selection,2003 Rnd 1 Pick 4,United States,,1
2011,Roy Hibbert,C,02-Jul,270,Indiana Pacers,Eastern All-Star Coaches Selection,2008 Rnd 1 Pick 17,United States,,1
2011,Paul Pierce,SF,07-Jun,235,Boston Celtics,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 10,United States,,1
2011,Deron Williams,PG,03-Jun,200,New Jersey Nets,Eastern All-Star Coaches Selection,2005 Rnd 1 Pick 3,United States,,1
2011,Luol Deng,GF,09-Jun,220,Chicago Bulls,Eastern All-Star Coaches Selection,2004 Rnd 1 Pick 7,"England
South Sudan",,1
2011,Andre Iguodala,SF,06-Jun,215,Philadelphia Sixers,Eastern All-Star Coaches Selection,2004 Rnd 1 Pick 9,United States,,1
2011,Joe Johnson,SG,07-Jun,240,Atlanta Hawks,Eastern All-Star Coaches Selection,2001 Rnd 1 Pick 10,United States,,1
2011,Rajon Rondo,PG,01-Jun,186,Boston Celtics,Eastern All-Star Replacement Selection,2006 Rnd 1 Pick 21,United States,,1
2011,Kobe Bryant,SG,06-Jun,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States,,1
2011,Chris Paul,PG,Jun-00,175,Los Angeles Clippers,Western All-Star Fan Vote Selection,2005 Rnd 1 Pick 4,United States,,1
2011,Kevin Durant,SF,09-Jun,240,Oklahoma City Thunder,Western All-Star Fan Vote Selection,2007 Rnd 1 Pick 2,United States,,1
2011,Blake Griffin,PF,10-Jun,251,Los Angeles Clippers,Western All-Star Fan Vote Selection,2009 Rnd 1 Pick 1,United States,,1
2011,Andrew Bynum,C,Jul-00,285,Los Angeles Lakers,Western All-Star Fan Vote Selection,2005 Rnd 1 Pick 10,United States,,1
2011,Kevin Love,FC,10-Jun,251,Minnesota Timberwolves,Western All-Star Coaches Selection,2008 Rnd 1 Pick 5,United States,,1
2011,LaMarcus Aldridge,FC,11-Jun,240,Portland Trail Blazers,Western All-Star Coaches Selection,2006 Rnd 1 Pick 2,United States,,1
2011,Russell Westbrook,G,03-Jun,200,Oklahoma City Thunder,Western All-Star Coaches Selection,2008 Rnd 1 Pick 4,United States,,1
2011,Dirk Nowitzki,PF,Jul-00,245,Dallas Mavericks,Western All-Star Coaches Selection,1998 Rnd 1 Pick 9,Germany,,1
2011,Tony Parker,G,02-Jun,185,San Antonio Spurs,Western All-Star Coaches Selection,2001 Rnd 1 Pick 28,France,,1
2011,Steve Nash,G,03-Jun,178,Phoenix Suns,Western All-Star Coaches Selection,1996 Rnd 1 Pick 15,"Canada
South Africa",,1
2011,Marc Gasol,C,01-Jul,255,Memphis Grizzlies,Western All-Star Coaches Selection,2007 Rnd 2 Pick 18,Spain,,1
2010,Carmelo Anthony,F,08-Jun,240,Denver Nuggets,Western All-Star Fan Vote Selection,2003 Rnd 1 Pick 3,United States,,1
2010,Kobe Bryant,SG,06-Jun,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States,,1
2010,Kevin Durant,SF,09-Jun,240,Oklahoma City Thunder,Western All-Star Fan Vote Selection,2007 Rnd 1 Pick 2,United States,,1
2010,Chris Paul,PG,Jun-00,175,New Orleans Hornets,Western All-Star Fan Vote Selection,2005 Rnd 1 Pick 4,United States,,1
2010,Yao Ming,C,06-Jul,310,Houston Rockets,Western All-Star Fan Vote Selection,2002 Rnd 1 Pick 1,China,,1
2010,Manu Ginobili,SG,06-Jun,205,San Antonio Spurs,Western All-Star Coaches Selection,1999 Rnd 2 Pick 28,Argentina,,1
2010,Dirk Nowitzki,PF,Jul-00,245,Dallas Mavericks,Western All-Star Coaches Selection,1998 Rnd 1 Pick 9,Germany,,1
2010,Pau Gasol,FC,Jul-00,250,Los Angeles Lakers,Western All-Star Coaches Selection,2001 Rnd 1 Pick 3,Spain,,1
2010,Deron Williams,PG,03-Jun,200,Utah Jazz,Western All-Star Coaches Selection,2005 Rnd 1 Pick 3,United States,,1
2010,Russell Westbrook,G,03-Jun,200,Oklahoma City Thunder,Western All-Star Coaches Selection,2008 Rnd 1 Pick 4,United States,,1
2010,Blake Griffin,PF,10-Jun,251,Los Angeles Clippers,Western All-Star Coaches Selection,2009 Rnd 1 Pick 1,United States,,1
2010,Tim Duncan,FC,11-Jun,250,San Antonio Spurs,Western All-Star Coaches Selection,1997 Rnd 1 Pick 1,United States,,1
2010,Kevin Love,FC,10-Jun,251,Minnesota Timberwolves,Western All-Star Replacement Selection,2008 Rnd 1 Pick 5,United States,,1
2010,Dwyane Wade,SG,04-Jun,220,Miami Heat,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 5,United States,,1
2010,Amar'e Stoudemire,FC,10-Jun,245,New York Knicks,Eastern All-Star Fan Vote Selection,2002 Rnd 1 Pick 9,United States,,1
2010,Dwight Howard,C,11-Jun,265,Orlando Magic,Eastern All-Star Fan Vote Selection,2004 Rnd 1 Pick 1,United States,,1
2010,LeBron James,F,08-Jun,250,Miami Heat,Eastern All-Star Fan Vote Selection,2003 Rnd 1 Pick 1,United States,,1
2010,Derrick Rose,PG,03-Jun,190,Chicago Bulls,Eastern All-Star Fan Vote Selection,2008 Rnd 1 Pick 1,United States,,1
2010,Kevin Garnett,PF,11-Jun,240,Boston Celtics,Eastern All-Star Coaches Selection,1995 Rnd 1 Pick 5,United States,,1
2010,Paul Pierce,SF,07-Jun,235,Boston Celtics,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 10,United States,,1
2010,Rajon Rondo,PG,01-Jun,186,Boston Celtics,Eastern All-Star Coaches Selection,2006 Rnd 1 Pick 21,United States,,1
2010,Ray Allen,SG,05-Jun,205,Boston Celtics,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 5,United States,,1
2010,Al Horford,FC,10-Jun,245,Atlanta Hawks,Eastern All-Star Coaches Selection,2007 Rnd 1 Pick 3,"Dominican Republic
United States",,1
2010,Joe Johnson,SG,07-Jun,240,Atlanta Hawks,Eastern All-Star Coaches Selection,2001 Rnd 1 Pick 10,United States,,1
2010,Chris Bosh,PF,11-Jun,235,Miami Heat,Eastern All-Star Coaches Selection,2003 Rnd 1 Pick 4,United States,,1
2009,Deron Williams,PG,03-Jun,200,Utah Jazz,Western All-Star Coaches Selection,2005 Rnd 1 Pick 3,United States,,1
2009,Chris Paul,PG,Jun-00,175,New Orleans Hornets,Western All-Star Coaches Selection,2005 Rnd 1 Pick 4,United States,,1
2009,Pau Gasol,FC,Jul-00,250,Los Angeles Lakers,Western All-Star Coaches Selection,2001 Rnd 1 Pick 3,Spain,,1
2009,Kevin Durant,SF,09-Jun,240,Oklahoma City Thunder,Western All-Star Coaches Selection,2007 Rnd 1 Pick 2,United States,,1
2009,Dirk Nowitzki,PF,Jul-00,245,Dallas Mavericks,Western All-Star Coaches Selection,1998 Rnd 1 Pick 9,Germany,,1
2009,Zach Randolph,PF,09-Jun,260,Memphis Grizzlies,Western All-Star Coaches Selection,2001 Rnd 1 Pick 19,United States,,1
2009,Brandon Roy,G,06-Jun,211,Portland Trail Blazers,Western All-Star Coaches Selection,2006 Rnd 1 Pick 6,United States,,1
2009,Steve Nash,G,03-Jun,178,Phoenix Suns,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 15,"Canada
South Africa",,1
2009,Kobe Bryant,SG,06-Jun,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States,,1
2009,Amar'e Stoudemire,FC,10-Jun,245,Phoenix Suns,Western All-Star Fan Vote Selection,2002 Rnd 1 Pick 9,United States,,1
2009,Tim Duncan,FC,11-Jun,250,San Antonio Spurs,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 1,United States,,1
2009,Carmelo Anthony,F,08-Jun,240,Denver Nuggets,Western All-Star Fan Vote Selection,2003 Rnd 1 Pick 3,United States,,1
2009,Chauncey Billups,G,03-Jun,210,Denver Nuggets,Western All-Star Replacement Selection,1997 Rnd 1 Pick 3,United States,,1
